COD_AREA_PROGR;ZONA_SANITARIA;NOM_A_PROGRAMA;COD_LOC;NOM_LOC;TIENE_ESCU;COD_LOC_IN;TIPO;GEOM900913;wkt_geom;CLASIFICACION_PROV;CodProv;CodDepart;CodLoc;Establec;NOMBRE_ENT
08;1;AÑELO;58014016;AÑELO;t;58014010;LOCALIDAD SIMPLE;"SRID=900913;POINT(-7658917.1381776 -4628842.44813966)";POINT(-68.801223 -38.348976);municipio 2;58;014;010;C.S.AÑELO;AÑELO
31;3;TRICAO MALAL;58042001;AQUIHUECO;t;;PARAJE;"SRID=900913;POINT(-7838135.14526953 -4445399.61392309)";POINT(-70.411166 -37.045133);paraje;58;042;000;HOSP.TRICAO MALAL;AQUIHUECO
10;1;SENILLOSA;58035002;ARROYITO;t;58035010;LOCALIDAD SIMPLE;"SRID=900913;POINT(-7634165.36868879 -4733146.62358961)";POINT(-68.578874 -39.080065);paraje;58;035;010;HOSP.SENILLOSA;ARROYITO
31;3;TRICAO MALAL;58042002;ARROYO BLANCO;t;;PARAJE;"SRID=900913;POINT(-7823891.8120145 -4476344.83578149)";POINT(-70.283216 -37.266686);paraje;58;042;000;HOSP.TRICAO MALAL;ARROYO BLANCA
41;4;JUNIN DE LOS ANDES;58049002;ATREUCO (RAI);t;;PARAJE;"SRID=900913;POINT(-7913313.62442598 -4830637.21090399)";POINT(-71.086506 -39.756616);paraje;58;049;000;HOSP.JUNIN DE LOS ANDES;ATREUCO
41;4;JUNIN DE LOS ANDES;58049039;ATREUCO ARRIBA;t;;PARAJE;"SRID=900913;POINT(-7913174.83466747 -4830717.08808057)";POINT(-71.085259 -39.757168);paraje;;;;;
18;1;RINCON DE LOS SAUCES;58014015;AUCA MAHUIDA;t;;PARAJE;"SRID=900913;POINT(-7626998.13843864 -4563620.85713856)";POINT(-68.514490 -37.888034);paraje;58;014;000;HOSP.RINCON DE LOS SAUCES;AUCA MAHUIDA
41;4;JUNIN DE LOS ANDES;58049003;AUCAPAN (RAI);t;;PARAJE;"SRID=900913;POINT(-7911747.27352199 -4820406.17351454)";POINT(-71.072435 -39.685925);paraje;58;049;000;HOSP.JUNIN DE LOS ANDES;AUCAPAN
41;4;JUNIN DE LOS ANDES;58049042;AUCAPAN ABAJO;t;;PARAJE;"SRID=900913;POINT(-7906728.87305489 -4807308.00509283)";POINT(-71.027354 -39.595317);paraje;;;;;
40;4;SAN MARTIN DE LOS ANDES;58056002;AUQUINCO;f;;PARAJE;"SRID=900913;POINT(-7910373.03452419 -4895130.05812704)";POINT(-71.060090 -40.200560);paraje;;;;;
20;2;ZAPALA;58021005;BAJADA DE LOS MOLLES;t;;PARAJE;"SRID=900913;POINT(-7818774.68206304 -4752258.11048641)";POINT(-70.237248 -39.213209);paraje;;;;;
20;2;ZAPALA;58112005;BAJADA DE LOS MOLLES;f;;PARAJE;"SRID=900913;POINT(-7820367.88663311 -4746303.23100499)";POINT(-70.251560 -39.171750);paraje;;;;;
23;2;BAJADA DEL AGRIO;58105003;BAJADA DEL AGRIO;t;58105010;LOCALIDAD SIMPLE;"SRID=900913;POINT(-7793435.71018696 -4640056.10763265)";POINT(-70.009624 -38.427934);municipio 3;58;105;010;HOSP.BAJADA DEL AGRIO;BAJADA DEL AGRIO
23;2;BAJADA DEL AGRIO;58105048;BAJADA VIEJA;t;;PARAJE;"SRID=900913;POINT(-7801852.39724808 -4647200.42463929)";POINT(-70.085233 -38.478193);paraje;58;105;000;HOSP.BAJADA DEL AGRIO;BAJADA VIEJA
20;2;ZAPALA;58112006;BARDA NEGRA;t;;PARAJE;"SRID=900913;POINT(-7771070.89419685 -4736370.60576628)";POINT(-69.808718 -39.102543);paraje;58;112;000;HOSP.ZAPALA;BARDA NEGRA
32;3;BUTA RANQUIL;58091006;BARRANCAS;t;58091010;LOCALIDAD SIMPLE;"SRID=900913;POINT(-7782921.18002939 -4413547.91293393)";POINT(-69.915171 -36.816413);municipio 3;58;091;010;HOSP.BUTA RANQUIL;BARRANCAS
10;1;SENILLOSA;58035044;BARRIO RUCA LUHE;f;58035020;COMPONENTE;"SRID=900913;POINT(-7634902.50912469 -4732411.04122072)";POINT(-68.585496 -39.074935);paraje;;;;;
44;4;LAS COLORADAS;58021006;BELISLE;f;;PARAJE;"SRID=900913;POINT(-7869472.02721693 -4772084.82785576)";POINT(-70.692670 -39.351070);paraje;;;;;
34;3;LAS OVEJAS;58077007;BELLA VISTA;t;;PARAJE;"SRID=900913;POINT(-7881419.94813208 -4443753.99658162)";POINT(-70.800000 -37.033333);paraje;58;077;000;HOSP.LAS OVEJAS;BELLA VISTA
