"ID","NOMBRE","LATITUD","LONGITUD"
151,"Pto San Nahuel Mapi"," -39.614169","-71.287841"
152,"Pto San Paimun"," -39.730904","-71.522257"
153,"Pto San Pampa Arriba"," -40.000705","-70.827835"
154,"Pto San Pampa del Malleo"," -39.816764","-70.980733"
155,"Pto San Paso Aguerre"," -39.339969","-69.843523"
156,"Pto San Picada 19"," -38.559751","-68.395112"
157,"Pto San Pichauhue"," -37.754314","-70.311900"
158,"Pto San Pichi Neuquén"," -36.623631","-70.806621"
159,"Pto San Puente Blanco"," -40.200416","-71.318284"
160,"Pto San Quili Malal"," -38.326520","-69.815009"
161,"Pto San Quillen"," -39.384361","-71.149235"
162,"Pto San Ramón Castro"," -38.862723","-69.741774"
163,"Pto San Ranquilon"," -37.756450","-70.658467"
164,"Pto San Ruca Choroy"," -39.121473","-71.098476"
165,"Pto San Sañicó"," -40.120881","-70.422661"
166,"Pto San San Ignacio Cost"," -39.991834","-70.861147"
167,"Pto San Santo Domingo"," -38.902674","-69.791540"
168,"Pto San Santo Tomás"," -39.822819","-70.099769"
169,"Pto San Taquimilan"," -37.513602","-70.250466"
170,"Pto San Trilatue"," -37.645265","-70.348042"
171,"Pto San Vilu Mallin"," -37.454085","-70.766630"
172,"Pto San. Puente Picún l"," -39.201731","-70.106620"
173,"Pto Sanitario Pilo Lil"," -39.657238","-70.940815"
